Word,Score
개발,1079.5384757356092
관련,996.9306768559485
보유,827.7435908726077
서비스,670.9376333851877
운영,661.660204728006
사용,640.5214302354971
우대,639.3637502647314
이해,583.838757043631
활용,538.0446008576457
이해도,508.59920416176624
근무,489.2064451137277
데이터,474.09342913106076
커뮤니케이션,471.6252589344051
영어,469.47980511530227
관심,464.6870934779319
기획,436.60700829243626
관리,410.8619706762122
프로젝트,405.08559316605056
디자인,403.99753430240696
스타트업,403.8303807643198
마케팅,402.5145096485565
분석,386.96618267555084
기술,357.00055224532014
협업,356.5264978895253
분야,353.58989777990143
환경,348.1490834262247
시스템,323.495770202621
설계,308.7962957890076
콘텐츠,293.0589046046368
지식,284.653069157149
구축,280.5986748333462
플랫폼,280.3932428793316
제품,276.57332006761993
작성,271.179671913611
브랜드,266.30319928929424
비즈니스,255.84508575101844
개선,240.74033984309926
문제,234.61204815991445
진행,232.76223020210043
제작,229.05189246033368
주도,226.65306259475636
적극,224.73098877408836
고객,224.28256411277127
성장,224.1234823475018
해결,214.43535486768522
채용,210.7368223255781
테스트,186.3155511928414
서류,171.1309535940175
인터뷰,135.88929349807253
전형,132.96701081739482
