Word,Score
휴가,1423.7642356372398
근무,1044.5060196975562
운영,862.277071145202
만원,853.464672426181
연차,845.3719694918873
선물,830.4849967835199
사용,824.6914177685495
제도,805.0179747968539
생일,763.2518512945318
복지,714.736313930362
간식,674.9171541042446
직원,674.3853649447974
도서,664.7173006642371
사내,657.7511303604521
명절,656.8325983087669
교육,648.8594931025576
자율,648.0345047437182
보험,639.9618169313585
문화,631.3418597590387
건강검진,622.5387820849353
식대,599.9831078351651
환경,596.1042185325626
성장,586.9690902312593
야근,580.4063775114391
장비,577.4048250698212
커피,567.6882947144243
출근,567.3282570743404
출퇴근,555.4832654008451
근속,536.1510312833066
무제한,530.9475060822325
점심,507.0058969652241
퇴근,505.81715155130183
회사,503.2061710195318
직무,494.4337702981391
경조사,491.34010487626
채용,480.8728773978815
개인,479.9783554213403
관련,478.8538200828545
장기,475.85511324869185
서류,463.18388513750415
위해,449.6387916232847
입사,417.9717360659974
최고,414.414655233492
포인트,407.31748202415554
건강,407.25170820060697
구성원,398.40755160080346
비용,391.83288997821256
축하,386.0734984366634
진행,373.5958414790372
가족,353.4492783304884
