Word,Score
개발,1571.2118157939744
관리,1309.5655189572346
운영,936.4874887474634
서비스,887.0384831448956
기획,859.4680870661186
분석,674.9407778684432
고객,670.011979496668
설계,614.4553412164519
데이터,609.4305956299839
개선,528.0219829663173
제품,517.6134170900543
수립,515.3367776880424
전략,509.60792681005114
시스템,498.5728432162414
디자인,493.7032276512777
마케팅,483.804519752311
관련,460.349398077112
기술,452.0821103891728
제작,443.1007146986721
콘텐츠,430.28960961290625
작성,406.67150079254833
프로젝트,395.00677044315967
신규,377.78041381099257
담당,375.5127981734239
사업,372.98643382607935
진행,370.24231581481564
브랜드,364.2392916834836
구축,363.91118570031267
유지,345.776078325116
플랫폼,334.397714791725
실행,333.0096210802597
광고,327.15403042714405
수행,326.02814708218256
협업,319.8165354750249
영업,315.88787292931454
채널,306.3598404835001
커뮤니케이션,303.619070708488
통해,287.5968191470244
상품,286.6117959788881
솔루션,282.1045085974167
활용,276.4283316546798
기능,270.9592751838939
제안,267.3108342576132
전반,261.4383153058658
시장,259.7767828341412
발굴,258.653183196634
사용자,253.43800648828295
도출,228.8901621013121
성과,216.25419561600134
목표,209.6059724606424
